City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-30.33,90,0,1.03,CA,1733304977
1,iqaluit,63.7506,-68.5145,-16.15,72,100,4.12,CA,1733305181
2,san cristobal de las casas,16.75,-92.6333,7.53,85,98,3.43,MX,1733305183
3,adamstown,-25.066,-130.1015,23.22,82,100,6.58,PN,1733305184
4,daru,-9.0763,143.2092,27.83,81,97,4.78,PG,1733305185
5,nar'yan-mar,67.6713,53.087,-6.78,95,100,2.24,RU,1733305186
6,margaret river,-33.95,115.0667,17.3,60,0,5.23,AU,1733305187
7,skive,56.5667,9.0333,2.87,95,100,0.89,DK,1733305188
8,howard springs,-12.497,131.047,28.95,82,31,3.16,AU,1733305189
9,badger,64.8,-147.5333,-8.13,88,75,2.57,US,1733305190
10,ixtapa,20.7,-105.2,20.68,86,50,1.48,MX,1733305191
11,ribeira grande,38.5167,-28.7,19.87,77,75,5.36,PT,1733305192
12,waitangi,-43.9535,-176.5597,11.57,96,94,3.13,NZ,1733305193
13,garissa,-0.4536,39.6401,33.45,35,5,3.89,KE,1733305194
14,maues,-3.3836,-57.7186,22.78,97,83,1.12,BR,1733305196
15,jamestown,42.097,-79.2353,-4.43,82,20,5.14,US,1733305121
16,puerto ayora,-0.7393,-90.3518,20.31,99,64,1.79,EC,1733305198
17,katsuren-haebaru,26.3369,127.8719,19.49,63,20,3.6,JP,1733305199
18,constantia,44.1833,28.65,3.38,74,100,4.85,RO,1733305200
19,las lomitas,-24.7096,-60.593,18.6,59,100,2.68,AR,1733305201
20,hoemul-li,41.4339,129.67,0.14,37,1,3.39,KP,1733305202
21,tyuratam,45.6507,63.3156,1.59,48,52,3.44,KZ,1733305203
22,idku,31.3078,30.299,19.78,63,12,6.16,EG,1733305204
23,anadyr,64.75,177.4833,-18.72,78,0,2.0,RU,1733305205
24,ushuaia,-54.8,-68.3,2.81,87,100,6.17,AR,1733305206
25,kayangel,8.0823,134.7173,28.88,76,100,3.63,PW,1733305207
26,kerikeri,-35.2268,173.9474,17.17,87,58,1.87,NZ,1733305209
27,mount pearl,47.5166,-52.7813,-2.25,91,20,2.06,CA,1733305210
28,port alfred,-33.5906,26.891,23.99,74,72,2.24,ZA,1733305211
29,port-aux-francais,-49.35,70.2167,4.69,75,8,5.44,TF,1733305212
30,albany,42.6001,-73.9662,-7.43,88,13,1.22,US,1733304917
31,hawaiian paradise park,19.5933,-154.9731,23.73,96,100,2.06,US,1733305214
32,invercargill,-46.4,168.35,15.01,88,76,7.15,NZ,1733305215
33,silver springs,29.1044,-82.0206,3.33,77,0,2.69,US,1733305216
34,happy valley-goose bay,53.3168,-60.3315,-18.83,84,20,2.06,CA,1733305217
35,utrik,11.2278,169.8474,27.48,84,51,8.61,MH,1733305218
36,kodiak,57.79,-152.4072,4.73,93,100,5.14,US,1733304936
37,margate,51.3813,1.3862,5.49,81,87,0.45,GB,1733305220
38,ghanzi,-21.5667,21.7833,37.18,11,67,6.66,BW,1733305222
39,nagqu,31.5,92.0,0.43,12,0,6.29,CN,1733305223
40,bilibino,68.0546,166.4372,-21.67,99,60,1.54,RU,1733305224
41,dunedin,-45.8742,170.5036,16.56,87,88,2.33,NZ,1733305225
42,puerto natales,-51.7236,-72.4875,4.0,87,45,1.08,CL,1733305227
43,callao,-12.0667,-77.15,19.84,88,75,1.54,PE,1733305228
44,vega de alatorre,20.0333,-96.6333,22.26,86,100,2.14,MX,1733305229
45,vorgashor,67.5833,63.95,-3.14,98,100,2.14,RU,1733305230
46,sangonera la verde,37.9286,-1.2079,17.8,59,95,2.24,ES,1733305231
47,papatowai,-46.5619,169.4708,16.72,86,75,6.04,NZ,1733305232
48,curup,-3.4667,102.5333,22.02,96,98,2.25,ID,1733305234
49,new norfolk,-42.7826,147.0587,14.84,75,15,0.94,AU,1733305235
50,la palma,33.8464,-118.0467,13.51,93,100,2.06,US,1733305236
51,bethel,41.3712,-73.414,-4.36,76,10,0.88,US,1733305237
52,sinabang,2.4803,96.3801,26.16,80,100,1.71,ID,1733305238
53,west island,-12.1568,96.8225,29.99,84,20,5.14,CC,1733305239
54,grytviken,-54.2811,-36.5092,0.92,74,96,4.43,GS,1733305240
55,olonkinbyen,70.9221,-8.7187,-0.07,96,100,7.17,SJ,1733305241
56,camocim,-2.9022,-40.8411,26.11,83,84,4.04,BR,1733305229
57,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,74,75,2.0,RU,1733305243
58,homer,59.6425,-151.5483,7.09,78,100,5.14,US,1733305244
59,saint-leu,-21.15,55.2833,29.48,73,15,2.98,RE,1733305245
60,bam,29.106,58.357,14.61,19,0,4.24,IR,1733305247
61,blackmans bay,-43.0167,147.3167,19.07,86,2,1.93,AU,1733305248
62,richfield,44.8833,-93.283,-0.86,80,100,5.66,US,1733305249
63,marataizes,-21.0433,-40.8244,23.74,90,100,2.1,BR,1733305250
